station_european_code	component_code	component_caption	component_name	component_FWD	measurement_european_group_code	measurement_unit	measurement_group_start_date	measurement_group_end_date	measurement_latest_AIRBASE	measurement_european_code	measurement_start_date	measurement_end_date	measurement_automatic	measurement_technique_principle	measurement_equipment	integration_time_frequency	calibration_unit	height_sampling_point	length_sampling_line	location_sampling_point	sampling_time	sampling_time_unit	calibration_frequency	integration_time_unit	calibration_method	calibration_description
BEMBE02	3012	Pb in TSP	Lead in TSP (aerosol)	no	100	µg/m3	1979-08-01	2003-12-31	2005-12-31	100	1979-08-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMBE02	3014	Cd in TSP	Cadmium in TSP (aerosol)	no	100	ng/m3	1979-08-01	2003-12-31	2005-12-31	100	1979-08-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMBE02	3015	Ni in TSP	Nickel in TSP (aerosol)	no	100	ng/m3	1991-01-01	2003-12-31	2005-12-31	100	1991-01-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMBE02	3018	As in TSP	Arsenic in TSP (aerosol)	no	100	ng/m3	1979-08-01	2003-12-31	2005-12-31	100	1979-08-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMBE02	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2005-01-01		2012-12-31	100	2005-01-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMBE02	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2005-01-01		2012-12-31	100	2005-01-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMBE02	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2005-01-01		2012-12-31	100	2005-01-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMBE02	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2005-01-01		2012-12-31	100	2005-01-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMBE06	12	Pb	Lead (aerosol)	yes	100	µg/m3	2002-01-01	2003-12-31		100	2002-01-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	LEC02	1	month	2	0		0		1	day	calibration filter	
BEMBE06	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	2002-01-01	2003-12-31		100	2002-01-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	LEC02	1	month	2	0		0		1	day	calibration filter	
BEMBE06	15	Ni	Nickel (aerosol)	yes	100	ng/m3	2002-01-01	2003-12-31		100	2002-01-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	LEC02	1	month	2	0		0		1	day	calibration filter	
BEMBE06	18	As	Arsenic (aerosol)	yes	100	ng/m3	2002-01-01	2003-12-31		100	2002-01-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	LEC02	1	month	2	0		0		1	day	calibration filter	
BEMBE06	3012	Pb in TSP	Lead in TSP (aerosol)	no	100	µg/m3	2002-01-01	2003-12-31	2003-12-31	100	2002-01-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	LEC02	1	month	2	0		0		1	day	calibration filter	
BEMBE06	3014	Cd in TSP	Cadmium in TSP (aerosol)	no	100	ng/m3	2002-01-01	2003-12-31	2003-12-31	100	2002-01-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	LEC02	1	month	2	0		0		1	day	calibration filter	
BEMBE06	3015	Ni in TSP	Nickel in TSP (aerosol)	no	100	ng/m3	2002-01-01	2003-12-31	2003-12-31	100	2002-01-01	2003-12-31	no	X-ray fluorescence spectroscopy (XRF)	LEC02	1	month	2	0		0		1	day	calibration filter	
