station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
BETR710	44R710	BE	Belgium	44R710 - DESTELBERGE	1977-11-01		Background	suburban	suburban			3.774011	51.061813	6	DESTELBERGEN				no
BETR721	44R721	BE	Belgium	44R721 - WONDELGEM	1977-11-01		Industrial		suburban			3.714869	51.089489	6	GENT				no
BETR731	44R731	BE	Belgium	44R731 - EVERGEM	1977-11-01		Industrial		suburban			3.738253	51.125221	6	EVERGEM				no
BETR740	44R740	BE	Belgium	44R740 - ST.KRUIS-WI	1977-11-01		Industrial	suburban	rural			3.807481	51.150673	5	GENT				no
BETR750	44R750	BE	Belgium	44R750 - ZELZATE	1977-11-01		Industrial		suburban			3.821664	51.196594	6	ZELZATE				no
BETR501	45R501	BE	Belgium	45R501 - CHARLEROI	1978-10-01		Traffic		urban		Wide street: L/H > 1.5	4.450911	50.409874	115	CHARLEROI				no
BETR502	45R502	BE	Belgium	45R502 - LODELINSART	1979-08-01		Background	urban	suburban			4.457419	50.429554	135	CHARLEROI				no
BETR510	45R510	BE	Belgium	45R510 - CHATELINEAU	1978-10-01		Background		suburban			4.519866	50.416992	118	CHATELET				no
BETR511	45R511	BE	Belgium	45R511 - MARCINELLE	1978-10-01		Background		suburban			4.423439	50.378150	157	CHARLEROI				no
BETR512	45R512	BE	Belgium	45R512 - MARCHIENNE	1978-10-01		Industrial		suburban			4.394636	50.408371	107	CHARLEROI				no
BETE007	47E007	BE	Belgium	47E007 - ST.P.LEEUW	1997-01-01		Industrial		rural			4.251367	50.795845	54	SINT-PIETERS-LEEUW				no
BETE008	47E008	BE	Belgium	47E008 - GRIMBERGEN	1997-01-01		Industrial		suburban			4.394653	50.926643	14	GRIMBERGEN				no
BETE009	47E009	BE	Belgium	47E009 - ZEMST	1997-01-01		Industrial		rural			4.434147	50.955460	43	ZEMST				no
BETE013	47E013	BE	Belgium	47E013 - VORST	1997-01-01		Industrial		urban			4.327119	50.812248	78	BRUSSELS				no
BETE701	47E701	BE	Belgium	47E701 - VICHTE	1997-01-01		Industrial		suburban			3.404508	50.833035	24	ANZEGEM				no
BETE702	47E702	BE	Belgium	47E702 - ELSEGEM	1997-01-01		Industrial		rural			3.530497	50.814541	17	WORTEGEM-PETEGEM				no
BETE703	47E703	BE	Belgium	47E703 - OOSTEEKLO	1997-01-01		Industrial		rural			3.686044	51.190849	7	ASSENEDE				no
BETE714	47E714	BE	Belgium	47E714 - DUDZELE	1997-01-01		Industrial		suburban			3.247383	51.279491	11	BRUGGE				no
BETE715	47E715	BE	Belgium	47E715 - ZUIENKERKE	1997-01-01		Industrial		rural			3.173747	51.246391	4	ZUIENKERKE				no
BETE716	47E716	BE	Belgium	47E716 - MARIAKERKE	1997-01-01		Industrial		suburban			3.681564	51.067520	8	GENT				no
BETE804	47E804	BE	Belgium	47E804 - KALLO	1997-01-01		Background		suburban			4.305890	51.281993	11	MOL		46003	Beveren	no
BETE810	47E810	BE	Belgium	47E810 - MOL	1997-01-01		Industrial		suburban			4.305889	51.281921	11	MOL				no
BETE811	47E811	BE	Belgium	47E811 - DIEPENBEEK	1997-01-01		Industrial		rural			5.416908	50.897484	59	DIEPENBEEK				no
BETE812	47E812	BE	Belgium	47E812 - GENK	1997-01-01		Industrial		suburban			5.536439	50.968525	82	GENK				no
BETE813	47E813	BE	Belgium	47E813 - HAM	1997-01-01		Industrial		suburban			5.144461	51.094273	30	HAM				no
BEVMA01	50MA01	BE	Belgium	50MA01 - MAASMECHELE	1997-01-01		Background		rural		Wide street: L/H > 1.5	5.724314	50.982124	35	MAASMECHELEN				no
BEVN025	50N025	BE	Belgium	50N025 - TESSENDERLO	1987-01-01		Background		suburban			5.092648	51.064098	28	TESSENDERLO				no
BEVN035	50N035	BE	Belgium	50N035 - AARSCHOT	1999-01-01		Background		suburban			4.836295	50.978096	58	AARSCHOT				no
BEVN063	50N063	BE	Belgium	50N063 - CORROY L.G.	2001-01-01		Background		rural		Unknown	4.667017	50.655992	145	CORROY LE GRAND				no
BEVN066	50N066	BE	Belgium	50N066 - EUPEN	2001-01-01		Background		rural	regional		6.001019	50.629421	295	EUPEN				no
BEVN070	50N070	BE	Belgium	50N070 - MONS	2001-01-01		Background		suburban			3.938467	50.465748	30	MONS				no
BEVN073	50N073	BE	Belgium	50N073 - VEZIN	2001-01-01		Background		rural			4.987144	50.503277	160	VEZIN				no
BEVN085	50N085	BE	Belgium	50N085 - VIELSALM	2001-01-01		Background		rural			6.000433	50.303780	490	VIELSALM				no
BEVN093	50N093	BE	Belgium	50N093 - SINSIN	2006-01-01		Background		rural	regional		5.233886	50.275047	265	SINSIN				no
BEVN100	50N100	BE	Belgium	50N100 - DOURBES	2001-01-01		Background		rural			4.593503	50.096249	225	DOURBES				no
BEVN113	50N113	BE	Belgium	50N113 - SAINT-ODE	1992-01-01		Background		rural			5.591728	50.027603	510	SAINT-ODE				no
BEVN132	50N132	BE	Belgium	50N132 - HABAY-LA-N.	2001-01-01		Background		rural	regional		5.629114	49.719864	375	HABAY LA NEUVE				no
BEVN520	50N520	BE	Belgium	50N520 - PERUWELZ	2006-01-01		Background		suburban	near city		3.593019	50.506054	30	PERUWELZ				no
BEVR201	50R201	BE	Belgium	50R201 - LIEGE	2001-01-01		Background		urban		Wide street: L/H > 1.5	5.573936	50.629200	65	LIEGE				no
BEVR522	50R222	BE	Belgium	50R222 - SERAING	2004-01-01		Background		suburban			5.570042	50.611099	62	LIEGE				no
BEVR231	50R231	BE	Belgium	50R231 - ANS	2006-01-01		Background		urban			5.528078	50.660686	160	ANS				no
BEVR240	50R240	BE	Belgium	50R240 - ENGIS	2001-01-01		Industrial		suburban		Wide street: L/H > 1.5	5.396155	50.584167	135	ENGIS				no
BEVR501	50R501	BE	Belgium	50R501 - CHARLEROI	2001-01-01		Traffic		urban		Wide street: L/H > 1.5	4.450911	50.409874	115	CHARLEROI				no
BEVR701	50R701	BE	Belgium	50R701 - GENT	1977-11-01		Background	urban	urban			3.728047	51.058865	5	GENT				no
BEVR750	50R750	BE	Belgium	50R750 - ZELZATE	1976-01-01		Industrial		suburban			3.821664	51.196594	6	ZELZATE				no
BEVR801	50R801	BE	Belgium	50R801 - BORGERHOUT	1995-01-01		Traffic		urban		Wide street: L/H > 1.5	4.430547	51.210197	6	ANTWERPEN				no
BEVR830	50R830	BE	Belgium	50R830 - DOEL	1995-01-01		Industrial		rural		Wide street: L/H > 1.5	4.261364	51.318760	5	DOEL				no
BEVR833	50R833	BE	Belgium	50R833 - STABROEK	1991-01-01		Industrial		rural			4.360989	51.328190	5	STABROEK				no
BEVTS12	50TS12	BE	Belgium	50TS12 - TESSENDERLO	1979-04-01		Background		suburban			5.092572	51.063900	32	TESSENDERLO				no
BEVTS20	50TS20	BE	Belgium	50TS20 - TESSENDERLO	1994-01-01		Background		suburban		Wide street: L/H > 1.5	5.106578	51.065556	28	TESSENDERLO				no
