datetime,iteration,island,cvMseMean,cvMseStd,cvSmapeMean,cvSmapeStd,holdoutRmse,holdoutSmape,holdoutMape,holdoutMse,holdoutIoa,full_parameters
1551684161,2,6,107.67140516546905,39.366491382975155,6.180461241467141,0.9894564559149818,10.455429854075009,7.336039577542138,1.7474900894682515,109.31601343348296,0.759091022138345,"[23.0, 485.0, 1.0, 288.0, 258.0, 292.0, 0.10060718555957243, 0.16532124839978984, 0.11068963287303546, 0.21834630954493942, 0.02036634971804731, 0.0775370945363985, 0.4370137451263556, 0.7740809308356609, 0.4883381476093761, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
1551688979,5,6,217.38287547481522,43.65421924004213,9.021915322589132,0.6451402037085685,13.262950036137907,9.027071504093431,3.37417442860545,175.9058436610905,0.2300757208551636,"[14.0, 515.0, 0.0, 301.0, 355.0, 359.0, 0.0413088742788266, 0.1316123494544607, 0.2455593010455733, 0.21633998745824426, 0.18599912332468446, 0.0370744462473804, 0.4273849471371939, 0.7830373720299516, 0.6559799579554537, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1551689333,6,3,115.53871375129083,41.84793723516351,6.3777922468295625,1.0626062504736353,11.027055031251725,7.5459338226621275,1.8697635319832362,121.59594266225398,0.7029831604594647,"[19.0, 362.0, 2.0, 82.0, 372.0, 123.0, 0.01975884952905204, 0.17522498573501694, 0.22000363041043633, 0.13339319916541006, 0.1279529628961837, 0.07057556177358043, 0.12918712011373287, 0.7865586129284, 0.25700313774772265, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
1551690038,13,6,107.88059880470306,37.93376669269641,6.1145652458867685,0.9399594084667704,11.09444447718596,7.70166422164326,2.1377124424225196,123.08669825736203,0.7218568884474081,"[19.0, 420.0, 4.0, 113.0, 93.0, 229.0, 0.1093097407517629, 0.18231497207146444, 0.11209551157037549, 0.014380544480260101, 0.08485402086554118, 0.21015596304037434, 0.8029372402341314, 0.6042408490059786, 0.24974108373216042, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1551691191,15,3,118.90517029969085,43.560196185937876,6.362422682596067,1.121532304936745,11.50426409824659,8.106791930258419,1.3692422252112562,132.34809244220543,0.7118945412815105,"[9.0, 559.0, 2.0, 281.0, 188.0, 291.0, 0.16366854083733146, 0.2443371866495803, 0.029157734545653208, 0.04789895482105486, 0.04221960441037502, 0.010567415530434738, 0.20269288270201333, 0.8895651415088434, 0.7661980306674286, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
1551693349,11,3,109.01822169777351,39.55507598524925,6.207071019528935,0.9386406015664671,11.198093519311305,7.786850792459761,1.8628949391964347,125.39729846724187,0.703002154228857,"[24.0, 572.0, 3.0, 431.0, 175.0, 337.0, 0.019705455416976027, 0.030769922722858556, 0.21348298373883418, 0.08992955444031135, 0.17961945977438712, 0.18906220631861442, 0.25269050096949214, 0.08287058266416028, 0.34772150437631444, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
1551693401,17,6,125.78266527176527,33.764585820075695,6.996343408047831,0.5324896760140797,11.15838256717514,7.979300666458223,2.3857634670914414,124.50950151543807,0.6452260219438468,"[12.0, 426.0, 0.0, 361.0, 502.0, 228.0, 0.1393755068132004, 0.014579246486378504, 0.06766477066310182, 0.23043789703170647, 0.13495170035594853, 0.08943992506106628, 0.8025918266388372, 0.14961523582102038, 0.4545258731822033, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1551694625,21,6,110.14541791824414,38.680187322950886,6.302502988088259,0.8608519772932537,10.655915478627584,7.464488585288404,1.7794528683053057,113.54853468765495,0.7268474936546954,"[24.0, 398.0, 3.0, 126.0, 461.0, 259.0, 0.13269220988302194, 0.21458567904025685, 0.12168095454730125, 0.058320785436982686, 0.0380715981077324, 0.03532738580452374, 0.9263351401481016, 0.6289717099058038, 0.10662250761421527, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
1551694853,14,3,217.57406143606758,42.22705102493685,9.047666863995785,0.640635527759557,13.293551265949182,9.05534714042923,3.4199413940457193,176.71850526041908,0.23449571204389696,"[24.0, 536.0, 0.0, 441.0, 382.0, 219.0, 0.14481670091345558, 0.054933829706996645, 0.23776461974194738, 0.18346714850068618, 0.07235805126639168, 0.055758701269245536, 0.04408142339488402, 0.6682674693220585, 0.6058783280848747, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
1551696302,24,3,132.62355597445583,38.83445421987978,7.0921084864629815,0.9303403928373375,11.22060619958545,7.975036946676604,1.922835104480416,125.90200348617546,0.7341402742098675,"[13.0, 397.0, 0.0, 505.0, 83.0, 467.0, 0.07246791001990725, 0.1818132985140017, 0.0898760211393, 0.08834312358789545, 0.1314834223477671, 0.1583109235699713, 0.6506358297174043, 0.23072598342817155, 0.4593401816175342, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1551706189,17,6,217.6027742908571,43.59568493922881,9.031645362331265,0.6457339893450229,13.271212894739776,9.034846042468756,3.3874457670545093,176.12509169750732,0.23154431138414233,"[14.0, 512.0, 1.0, 473.0, 501.0, 317.0, 0.020832011252066778, 0.15856388069314106, 0.225369118090044, 0.11954891088353897, 0.18772510818488214, 0.021540109013671406, 0.8578950511465933, 0.767677181961455, 0.36335770468367895, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
1551707699,30,6,223.67796191370002,57.971361147709395,10.765383841065438,1.308169847076418,12.419717487815987,8.504683761229762,1.413490752144009,154.24938247716224,0.7428335435730402,"[18.0, 443.0, 3.0, 471.0, 98.0, 201.0, 0.14918378919347644, 0.23999052366577184, 0.22893119166771736, 0.24576201416785265, 0.2198800059817303, 0.18884058025283212, 0.9981228387534816, 0.46765266902294367, 0.8145254688911617, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
1551712382,35,6,217.66703824913913,42.96438529411646,9.045179715844299,0.6656451299200548,13.278941287305535,9.04183208782995,3.398034290494976,176.33028171170758,0.23269375216179178,"[21.0, 592.0, 1.0, 287.0, 211.0, 311.0, 0.19166632625994764, 0.09744093584004741, 0.03896590567304966, 0.15317750019730791, 0.24244740739678663, 0.18769750865577514, 0.8283210388182362, 0.21671897560116046, 0.14098089849119444, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
