datetime,iteration,gpu,cvMseMean,cvMseStd,cvSmapeMean,cvSmapeStd,holdoutRmse,holdoutSmape,holdoutMape,holdoutMse,holdoutIoa,full_parameters
1545403539,1,0,319.5342170679091,132.96183326843652,26.918495344329095,5.426273648206948,12.459995365976118,28.059912885217074,inf,155.25148452014633,0.7900995166491982,"[26.0, 372.0, 2.0, 172.0, 119.0, 254.0, 0.14543083008224386, 0.12046338333629579, 0.1468972731760558, 0.23121405511147566, 0.11589311820853512, 0.16332844295465443, 0.3751337601264743, 0.7353768758529104, 0.776000928114775, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]"
1545403651,1,1,317.4745853100681,128.0869701280782,27.08312784962814,5.574621049494313,12.4928210459485,29.170542947063552,inf,156.07057768609377,0.7664354029265951,"[41.0, 480.0, 2.0, 120.0, 130.0, 241.0, 0.21652022597572068, 0.07470644374473889, 0.1045629940578116, 0.13744256589128923, 0.14083907868825715, 0.08863520202144265, 0.25311938320145355, 0.587493045593777, 0.12654700940326435, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1545404575,2,1,343.23905890857117,143.10968579419895,27.490958378927793,4.8778950528509135,12.402827903255151,28.37588246174014,inf,153.83013999776458,0.7870242001665417,"[53.0, 208.0, 3.0, 224.0, 89.0, 56.0, 0.09168835306595967, 0.10704101039045492, 0.16816402632563118, 0.0999435891427182, 0.1767921757217533, 0.24781753375250135, 0.7707119900015235, 0.3973572235205854, 0.6354752961346077, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
1545405044,2,0,343.4352744807346,135.63224269625468,28.32250232208647,6.5425168568853795,12.889886831821647,28.498663217377835,inf,166.14918253716908,0.801830474908188,"[26.0, 277.0, 1.0, 73.0, 70.0, 259.0, 0.10559169614283499, 0.09230385663445043, 0.22666322682617288, 0.18957835225775863, 0.079488929470184, 0.06535058509867762, 0.35395729142022797, 0.5148049635499886, 0.29071237101930353, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
1545405814,3,1,322.066252939214,146.2971635693285,26.647559531451424,5.137046216501201,11.44450119094353,25.733500913933046,inf,130.9766075095079,0.8188616096967574,"[60.0, 205.0, 0.0, 436.0, 198.0, 332.0, 0.07546707089056555, 0.0558463755356598, 0.1837387029389058, 0.047848418981338466, 0.2123379455190814, 0.237518550446526, 0.5125349178301459, 0.35410578139092064, 0.16565928601713972, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
1545406114,3,0,358.2694602660216,177.54084909830962,29.64601071612522,7.361829886702009,12.847292080093059,30.550203131813106,inf,165.05291379122184,0.79736262571299,"[36.0, 383.0, 3.0, 368.0, 185.0, 403.0, 0.15658639505922942, 0.1490364823669088, 0.05334080275381196, 0.2290019502775841, 0.19906344289189923, 0.020039952578517727, 0.6401754649078975, 0.5162004361697713, 0.02076061505260999, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
1545406585,4,1,310.0748304269811,112.40003665829127,27.09270779208713,5.311269443435884,12.469699351173531,28.31201163521184,inf,155.49340190865757,0.7929795454975198,"[39.0, 293.0, 3.0, 363.0, 202.0, 150.0, 0.1994527191043365, 0.17924994069687786, 0.1861931873783419, 0.08624864647680221, 0.0911195723512924, 0.05617750385318548, 0.22971669201869405, 0.03873709917784094, 0.8941097087142545, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1545406855,4,0,343.550882156192,164.2429365956865,28.283003449831153,7.090433281491744,12.68236702969964,29.224201603043802,inf,160.84243347601245,0.7962942235964774,"[62.0, 235.0, 1.0, 363.0, 201.0, 146.0, 0.12690911154203804, 0.16960746944584576, 0.15509401556916785, 0.11953752245931906, 0.1452093597486262, 0.05006614021687859, 0.37527504797256744, 0.7891169169032923, 0.2096195914415704, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
1545407531,5,0,303.06153923690397,108.88150158817845,26.974387366469095,5.433547819175576,12.770880851602833,31.3550092167415,inf,163.0953977258359,0.7829021231917985,"[50.0, 331.0, 3.0, 322.0, 92.0, 389.0, 0.23727161677214015, 0.16813248135817682, 0.22379923404378207, 0.18248643902880382, 0.04358226943936718, 0.1476554476517038, 0.9821958610244337, 0.9975772217913522, 0.27594629999525755, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1545408422,6,0,346.587136356388,145.15270922668014,29.011980913090316,6.554158576811789,12.662728781852193,28.24038338637315,inf,160.34470020274793,0.7913461966129652,"[53.0, 223.0, 2.0, 125.0, 212.0, 387.0, 0.21018958069758267, 0.0932511096585025, 0.1706315055769926, 0.0451169965273659, 0.09826331583552037, 0.12539839642386405, 0.08799977454656731, 0.8435331254111486, 0.8402267230997634, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
