datetime,sensor.flower1_moisture,sensor.flower1_conductivity,sensor.flower1_temperature,sensor.flower1_light_intensity,sensor.dark_sky_precip_intensity-1,sensor.dark_sky_precip_probability-1,sensor.yr_symbol-1,sensor.dark_sky_humidity-1,sensor.dark_sky_temperature-1,sensor.dark_sky_apparent_temperature-1,sensor.dark_sky_cloud_coverage-1,sensor.dark_sky_visibility-1,sensor.flower1_conductivity-1,sensor.flower1_temperature-1,sensor.flower1_moisture-1,sensor.flower1_battery-1,sensor.humidity-1,sensor.temperature-1,sensor.brightness-1,sensor.pressure-1,sun.sun_above_horizon-1,sun.sun_below_horizon-1,sensor.flower1_light_intensity-1,sin_cyclical_month,cos_cyclical_month,sin_cyclical_day_of_week,cos_cyclical_day_of_week,sin_cyclical_day_of_year,cos_cyclical_day_of_year,sin_cyclical_week_of_year,cos_cyclical_week_of_year,sin_cyclical_day,cos_cyclical_day,sin_cyclical_hour,cos_cyclical_hour,sin_cyclical_week_day,cos_cyclical_week_day,sin_cyclical_week,cos_cyclical_week
2018-06-23 10:00:00,17.5,296.0,19.95,37436.666666666664,0.0,0.0,3.0,51.333333333333336,18.349999999999998,18.349999999999998,69.0,13.897499999999999,296.0,19.95,17.5,99.0,37.775862068965516,27.5,674.1582500000001,1026.5476744186046,1.0,0.0,37436.666666666664,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,0.3984010898462418,-0.9172113015054528,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 11:00:00,18.0,283.0,22.333333333333332,27108.666666666668,0.0,0.0,3.0,51.333333333333336,18.349999999999998,18.349999999999998,69.0,13.897499999999999,296.0,19.95,17.5,99.0,37.775862068965516,27.5,674.1582500000001,1026.5476744186046,1.0,0.0,37436.666666666664,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,0.13616664909624665,-0.9906859460363308,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 12:00:00,18.0,272.0,25.73333333333333,25827.0,0.0,0.0,3.0,49.666666666666664,18.775,18.775,66.3,13.544166666666667,283.0,22.333333333333332,18.0,99.0,37.21294117647059,28.14358974358974,906.1020000000002,1026.3201801801802,1.0,0.0,27108.666666666668,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,-0.1361666490962464,-0.9906859460363308,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 13:00:00,18.0,249.0,30.46666666666667,44575.0,0.0,0.0,3.0,48.0,19.425000000000004,19.425000000000004,56.166666666666664,13.07,272.0,25.73333333333333,18.0,99.0,36.431578947368415,29.256603773584906,792.6959770114946,1025.6881132075473,1.0,0.0,25827.0,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,-0.3984010898462412,-0.9172113015054532,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 14:00:00,18.0,239.5,32.2,23615.0,0.0,0.0,3.0,43.0,19.828571428571426,19.828571428571426,52.166666666666664,13.120833333333335,249.0,30.46666666666667,18.0,99.0,39.0892857142857,26.29,705.0800000000003,1025.1899056603772,1.0,0.0,44575.0,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,-0.6310879443260528,-0.7757112907044198,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 15:00:00,17.0,275.0,25.3,9064.0,0.0,0.0,3.0,42.5,20.5,20.5,67.91666666666667,13.250000000000002,239.5,32.2,18.0,99.0,39.026666666666664,26.127272727272725,690.4017142857143,1024.551320754717,1.0,0.0,23615.0,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,-0.816969893010442,-0.5766803221148672,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 16:00:00,16.0,281.3333333333333,22.633333333333336,7955.333333333333,0.0,0.0,3.0,41.5,20.1,20.1,84.0,13.118181818181817,275.0,25.3,17.0,99.0,38.54081632653064,25.570588235294117,613.2236781609192,1024.1804504504507,1.0,0.0,9064.0,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,-0.9422609221188204,-0.3348796121709864,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 17:00:00,16.0,279.5,21.366666666666664,5720.333333333333,0.0,0.0,4.0,41.666666666666664,20.133333333333336,20.133333333333336,89.42857142857143,13.173333333333332,281.3333333333333,22.633333333333336,16.0,99.0,38.349999999999994,25.15,636.8011250000002,1023.6699047619051,1.0,0.0,7955.333333333333,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,-0.9976687691905392,-0.06824241336467135,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 18:00:00,16.0,281.0,20.066666666666666,2776.6666666666665,0.0,0.0,4.0,46.0,19.6,19.6,96.33333333333333,14.369,279.5,21.366666666666664,16.0,99.0,38.087500000000006,24.795454545454547,590.5004819277112,1023.3567307692308,1.0,0.0,5720.333333333333,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,-0.979084087682323,0.2034560130526333,-0.866025403784439,0.49999999999999933,0.0,1.0
2018-06-23 19:00:00,29.0,627.6666666666666,17.8,960.0,0.0,0.0,4.0,47.4,18.21818181818182,18.21818181818182,95.0,11.845,281.0,20.066666666666666,16.0,99.0,38.542622950819684,24.186363636363637,462.26627906976745,1023.1356481481482,1.0,0.0,2776.6666666666665,0.0,1.0,-0.866025403784439,0.49999999999999933,0.0,1.0,0.0,1.0,-0.9945218953682733,-0.10452846326765423,-0.8878852184023756,0.4600650377311516,-0.866025403784439,0.49999999999999933,0.0,1.0
