datetime,sensor.flower1_moisture,sensor.flower1_conductivity,sensor.flower1_temperature,sensor.flower1_light_intensity,sensor.flower1_battery,sensor.dark_sky_precip_intensity,sensor.dark_sky_precip_probability,sensor.yr_symbol,sensor.dark_sky_humidity,sensor.dark_sky_temperature,sensor.dark_sky_apparent_temperature,sensor.dark_sky_cloud_coverage,sensor.dark_sky_visibility,sensor.humidity,sensor.temperature,sensor.brightness,sensor.pressure,sun.sun_above_horizon,sun.sun_below_horizon,sensor.dark_sky_precip_intensity-1,sensor.dark_sky_precip_probability-1,sensor.yr_symbol-1,sensor.dark_sky_humidity-1,sensor.dark_sky_temperature-1,sensor.dark_sky_apparent_temperature-1,sensor.dark_sky_cloud_coverage-1,sensor.dark_sky_visibility-1,sensor.flower1_conductivity-1,sensor.flower1_temperature-1,sensor.flower1_moisture-1,sensor.flower1_battery-1,sensor.humidity-1,sensor.temperature-1,sensor.brightness-1,sensor.pressure-1,sun.sun_above_horizon-1,sun.sun_below_horizon-1,sensor.flower1_light_intensity-1,sin_cyclical_month,cos_cyclical_month,sin_cyclical_day_of_week,cos_cyclical_day_of_week,sin_cyclical_day_of_year,cos_cyclical_day_of_year,sin_cyclical_week_of_year,cos_cyclical_week_of_year,sin_cyclical_day,cos_cyclical_day,sin_cyclical_hour,cos_cyclical_hour,sin_cyclical_week_day,cos_cyclical_week_day,sin_cyclical_week,cos_cyclical_week
2018-06-23,0.4184652278177458,1.0,0.37505774873287157,1.0,0.0,0.0,0.0,0.1863354037267081,0.49145650199362667,0.10890249449475053,0.10771842312410805,0.8047503002307331,0.9100357382175074,0.7874291175623718,0.18930856620904193,0.25063005888723994,1.0,0.4858073646826353,0.5141926353173649,0.0,0.0,0.1863354037267081,0.49145650199362667,0.10890249449475053,0.10771842312410805,0.9402859711176419,0.9100357382175074,1.0,0.37505774873287157,0.4184652278177458,0.0,0.7874291175623718,0.18930856620904193,0.25063005888723994,1.0,0.37244605664234426,0.6275539433576557,1.0,0.0,1.0,0.0,0.7499999999999997,0.0,1.0,0.0,1.0,5.581692217113223e-17,0.4477357683661729,0.0,0.0,0.0,0.7499999999999997,0.0,1.0
2018-06-24,0.437861475525462,0.8475270914545731,0.08717327092816858,0.4060139595578533,1.0,0.0,0.0,0.2096273291925466,0.8705497066874593,0.0,0.0,0.7592029287139915,0.884077128418749,0.9839534132246264,0.02139040850804885,0.10130817239787027,0.8872013810548611,0.4249655790549146,0.5750344209450856,0.0,0.0,0.1863354037267081,0.49145650199362667,0.10890249449475053,0.10771842312410805,0.9402859711176419,0.9100357382175074,1.0,0.37505774873287157,0.4184652278177458,0.0,0.7874291175623718,0.18930856620904193,0.25063005888723994,1.0,0.37244605664234426,0.6275539433576557,1.0,0.0,1.0,0.5,1.0,0.033971857779384385,0.9991493232115758,0.0,1.0,0.0,0.5522642316338265,0.0,0.0,0.5,1.0,0.0,1.0
2018-06-25,0.18984812150279784,0.5810302932854067,0.37847573404873036,0.6936058860961962,1.0,0.0,0.0,0.1490683229813665,0.7854016246645217,0.1493433836922088,0.14771960798490996,0.6002313086356506,0.8836458306760963,1.0,0.3307315077257862,0.35587675842824856,0.9567954564617421,0.4334578359398544,0.5665421640601455,0.0,0.0,0.2096273291925466,0.8705497066874593,0.0,0.0,0.8870675324961264,0.884077128418749,0.8475270914545731,0.08717327092816858,0.437861475525462,1.0,0.9839534132246264,0.02139040850804885,0.10130817239787027,0.8872013810548611,0.29819080701584727,0.7018091929841527,0.4060139595578533,0.0,1.0,0.5000000000000001,1.0,0.06791330614514583,0.9965980543172396,0.24007574132260717,0.9562952014676114,0.021852399266194356,0.6545084971874736,0.0,0.0,0.5000000000000001,1.0,0.24007574132260717,0.9562952014676114
2018-06-26,0.11510791366906475,0.3435531969089909,0.3692956930173032,0.6527595311529569,1.0,0.0,0.0,0.11180124223602488,0.804026869056966,0.09699909437706317,0.09594444589391327,0.4556220482482534,0.8251521460400383,0.8247202254960627,0.35883289854636313,0.6803838218800354,0.979417465686499,0.4193936427747056,0.5806063572252946,0.0,0.0,0.1490683229813665,0.7854016246645217,0.1493433836922088,0.14771960798490996,0.7013219861786537,0.8836458306760963,0.5810302932854067,0.37847573404873036,0.18984812150279784,1.0,1.0,0.3307315077257862,0.35587675842824856,0.9567954564617421,0.3085553064857022,0.6914446935142974,0.6936058860961962,0.0,1.0,1.0,0.75,0.10179396290420505,0.9923484770481773,0.24007574132260717,0.9562952014676114,0.06460214309120457,0.7499999999999997,0.0,0.0,1.0,0.75,0.24007574132260717,0.9562952014676114
2018-06-27,0.09481645452868481,0.20572154741850632,0.5614605344184296,0.5840849626379638,1.0,0.0,0.0,0.1048136645962733,0.7729438764816017,0.27202228377173254,0.2671170805045337,0.3083426377914031,0.86194541107717,0.8065829423427754,0.5140109677107902,0.4498196913479686,0.8886341240531291,0.4193936427747056,0.5806063572252946,0.0,0.0,0.11180124223602488,0.804026869056966,0.09699909437706317,0.09594444589391327,0.5323577014844052,0.8251521460400383,0.3435531969089909,0.3692956930173032,0.11510791366906475,1.0,0.8247202254960627,0.35883289854636313,0.6803838218800354,0.979417465686499,0.29139045565993066,0.7086095443400693,0.6527595311529569,0.0,1.0,1.0,0.2500000000000001,0.1355835002802039,0.9864043953515779,0.24007574132260717,0.9562952014676114,0.1263808625338477,0.8345653031794289,0.0,0.0,1.0,0.2500000000000001,0.24007574132260717,0.9562952014676114
2018-06-28,0.0007993605115907502,0.10727573038061555,0.7138666248083178,0.6187925643530655,1.0,0.0,0.0,0.11180124223602488,0.5904392669233257,0.41800313631426345,0.4134582859061551,0.29453854610269714,0.8878971049213827,0.7104956871023649,0.570120001512115,0.5427892496595588,0.7668386505304733,0.41912531078775644,0.580874689212244,0.0,0.0,0.1048136645962733,0.7729438764816017,0.27202228377173254,0.2671170805045337,0.36027356128918214,0.86194541107717,0.20572154741850632,0.5614605344184296,0.09481645452868481,1.0,0.8065829423427754,0.5140109677107902,0.4498196913479686,0.8886341240531291,0.29139045565993066,0.7086095443400693,0.5840849626379638,0.0,1.0,0.5000000000000002,0.0,0.1692516720609727,0.9787711299855839,0.24007574132260717,0.9562952014676114,0.20448853110729387,0.9045084971874737,0.0,0.0,0.5000000000000002,0.0,0.24007574132260717,0.9562952014676114
2018-06-29,0.014868105515587504,0.0465926516994874,0.7242935160516583,0.5264971398825291,1.0,0.0,0.0,0.0,0.5364476005005508,0.3795177369021119,0.3753913292472489,0.112873198333158,0.8802882522725821,0.6137443358605356,0.6427369954245551,0.6462870280468505,0.5652741499796626,0.4260043062483949,0.5739956937516053,0.0,0.0,0.11180124223602488,0.5904392669233257,0.41800313631426345,0.4134582859061551,0.34414459090521293,0.8878971049213827,0.10727573038061555,0.7138666248083178,0.0007993605115907502,1.0,0.7104956871023649,0.570120001512115,0.5427892496595588,0.7668386505304733,0.29106296595087444,0.708937034049126,0.6187925643530655,0.0,1.0,3.2049378106392725e-16,0.24999999999999978,0.20276834067298635,0.9694555137564951,0.24007574132260717,0.9562952014676114,0.2955114688927057,0.9567727288213003,0.0,0.0,3.2049378106392725e-16,0.24999999999999978,0.24007574132260717,0.9562952014676114
2018-06-30,0.0,0.004619769747204824,0.6999055562234467,0.548859813142929,1.0,0.0,0.0,0.04658385093167702,0.6750119650290097,0.4349228355831126,0.4292737909944319,0.18310777397101885,0.8415800161311822,0.670197231466386,0.6243221268435648,0.4569894419497563,0.3203502161860481,0.4130464674726287,0.5869535325273715,0.0,0.0,0.0,0.5364476005005508,0.3795177369021119,0.3753913292472489,0.13188324984460126,0.8802882522725821,0.0465926516994874,0.7242935160516583,0.014868105515587504,1.0,0.6137443358605356,0.6427369954245551,0.6462870280468505,0.5652741499796626,0.2994585368539828,0.7005414631460172,0.5264971398825291,0.0,1.0,0.0,0.7499999999999997,0.23610350415857437,0.9584658854024775,0.24007574132260717,0.9562952014676114,0.3954715367323463,0.9890738003669028,0.0,0.0,0.0,0.7499999999999997,0.24007574132260717,0.9562952014676114
2018-07-01,0.006075139888089533,0.0,0.6920847944099217,0.6547314508297933,1.0,0.0,0.0,0.04658385093167702,0.0,0.4614574512379736,0.45644013221956603,0.2521580528368656,0.8881958476677313,0.12519343868859317,0.6970287441397524,0.7361874817453803,0.30960697952694044,0.4130464674726287,0.5869535325273715,0.0,0.0,0.04658385093167702,0.6750119650290097,0.4349228355831126,0.4292737909944319,0.2139467000113756,0.8415800161311822,0.004619769747204824,0.6999055562234467,0.0,1.0,0.670197231466386,0.6243221268435648,0.4569894419497563,0.3203502161860481,0.2836439524694635,0.7163560475305365,0.548859813142929,1.0,0.0,0.5,1.0,0.26922732303173613,0.9458120821292658,0.24007574132260717,0.9562952014676114,0.5,1.0,0.0,0.0,0.5,1.0,0.24007574132260717,0.9562952014676114
2018-07-02,0.10890111440259559,0.1377486183763336,0.6585774674015308,0.6856959093512237,1.0,0.0,0.0,0.04658385093167702,0.043863049728468405,0.37623081302767203,0.3721401433278968,0.0313802019698152,0.8833113246338186,0.0,0.653065552141302,1.0,0.35919776993861896,0.4045953210981968,0.5954046789018035,0.0,0.0,0.04658385093167702,0.0,0.4614574512379736,0.45644013221956603,0.29462639469518154,0.8881958476677313,0.0,0.6920847944099217,0.006075139888089533,1.0,0.12519343868859317,0.6970287441397524,0.7361874817453803,0.30960697952694044,0.2836439524694635,0.7163560475305365,0.6547314508297933,1.0,0.0,0.5000000000000001,1.0,0.30211014698852234,0.931505430804533,0.46965902073819593,0.8270909152852017,0.6045284632676534,0.9890738003669028,0.0,0.0,0.5000000000000001,1.0,0.46965902073819593,0.8270909152852017
