datetime,iteration,island,cvMseMean,cvMseStd,cvSmapeMean,cvSmapeStd,holdoutRmse,holdoutSmape,holdoutMape,holdoutMse,holdoutIoa,full_parameters
1551342451,1,4,234.28618567525004,33.343919163381564,12.50120117941416,2.70392068242182,19.060213128745566,15.28526224510121,inf,363.2917245132048,0.8853137315648913,"[26.55569210904737, 440.61395877406653, 3.509836120618345, 233.13692662617905, 166.37269972937344, 207.13757741853362, 0.11779756629420932, 0.0193815391322212, 0.11340629877572135, 0.08394490995427695, 0.13117574605143914, 0.05924346847581449, 0.9962964605237723, 0.7560542847069899, 0.5719321365420533, 0.28778253999519776, 0.09332348041132876, 0.6054435530572719, 0.07312772324232719, 0.725713894120857, 0.8356484255795199]"
1551343298,4,1,235.00606637699147,36.86342059640721,12.461770601183702,2.577095907729272,18.76325802841808,13.346621017252701,inf,352.05985184099546,0.8763968133753511,"[23.85101268838349, 391.40732629104355, 3.903838758424367, 285.53594243505347, 421.4600335638358, 340.96489770002097, 0.08677494527466953, 0.23905780084178524, 0.07745059242320525, 0.031160041306863888, 0.10598743643810757, 0.24356798476312663, 0.7831354679849672, 0.4842680402245849, 0.7851237311937264, 0.41140580085667156, 0.7926626388980483, 0.0654841960202397, 0.9423862440719493, 0.13758003357212045, 0.4916216394701506]"
1551343630,6,4,232.05633837917554,43.71637652718241,12.479296312491794,2.836881169929245,19.327831889967495,13.531317032143445,inf,373.5650855668445,0.8618855470491714,"[24.610499388882907, 449.2874384304732, 2.377473878513161, 108.94782642957733, 359.2452301985606, 286.88931694901214, 0.06471778089406999, 0.0365606246094661, 0.09437154432231212, 0.01923864637710377, 0.05873939050378572, 0.15893273601484362, 0.3560534764637432, 0.5305462276019944, 0.3489062309889504, 0.5915604305145538, 0.40887377821709703, 0.8513426618084107, 0.7535303022990971, 0.16687083340693531, 0.6855972849482954]"
1551345207,6,4,287.0035627474267,70.93182716354916,13.221206987659638,3.1148951266659854,17.732176330300113,11.692074927611886,inf,314.4300774088556,0.8573958505371423,"[24.614282808460022, 413.6817605733901, 1.6081437533952232, 373.15032445396963, 354.97117606229773, 78.82094100107679, 0.0172733424164468, 0.03422107730895809, 0.21590531604259142, 0.15137828497936293, 0.11219915527733865, 0.02915114384146942, 0.42865924978539227, 0.8272641923325983, 0.24061465872796464, 0.38952491313002935, 0.5341111761758238, 0.27280590916063774, 0.3725465395192388, 0.7357852128422523, 0.985277278104655]"
1551345821,8,1,648.4277833425649,116.32043499920195,18.026390744074114,4.305639132374578,29.177239785232135,17.632965163693566,inf,851.311321484933,0.3304916089125125,"[24.841379582666285, 430.48893417820386, 2.392614874764756, 357.37311085800815, 306.3725448102975, 443.98020883465824, 0.07521496420906061, 0.08445620535681496, 0.050381707221085356, 0.2466238339371873, 0.07962453566869952, 0.08128177443958295, 0.07086010073806064, 0.7228972376715368, 0.7106313575537495, 0.6688298886991763, 0.42449216471345486, 0.8252744546065964, 0.009832226963396806, 0.00781350148332316, 0.16863441060660112]"
1551346483,11,7,305.89307319823354,194.636435806635,13.308912893358931,4.542840572404751,25.112020778699915,21.246710687645436,inf,630.6135875898563,0.7878953080659824,"[21.085387178763867, 362.2533269994974, 2.5861355244862927, 389.618237237849, 222.19476518082328, 158.35956667578873, 0.2400684403366151, 0.1476249418966571, 0.024711925966939552, 0.09366278313525231, 0.035356064303718245, 0.04471578411888663, 0.8589262237759028, 0.5490282243339119, 0.11289467697485438, 0.9104620102084067, 0.5553253685796684, 0.2655714503422655, 0.58014523435886, 0.9320645241744202, 0.9377058695886874]"
1551347089,12,4,218.38446335733857,32.99654689645908,12.050187010528402,2.5660027675188672,16.205115866868915,11.632385812509325,inf,262.6057802586467,0.9061646613580805,"[13.613575482205174, 487.1731126644563, 0.21800995472641516, 411.7439183598784, 189.89280533737752, 220.32462147305642, 0.23664437366886606, 0.026084215645753882, 0.06464927663225391, 0.031232412458592616, 0.026658352350093707, 0.05912052662267592, 0.5696745938715925, 0.7767885647596078, 0.11928023353168721, 0.8847514612529661, 0.5390954368509859, 0.8948323387425944, 0.863174279944303, 0.9073598119813348, 0.3749994929668644]"
1551347436,13,1,254.82795197153422,33.97944938781749,13.702821406821176,3.3509973357071066,18.350782913995847,14.1435948983048,inf,336.7512335566019,0.8897194559610677,"[8.476215311284736, 544.6938324398395, 2.6040828504327136, 87.61706213310632, 340.71329059763207, 134.34481178646467, 0.03535791476594407, 0.12499536957495967, 0.17824154402485443, 0.08664115354418486, 0.1469697638112752, 0.04351410542697776, 0.2641815010460775, 0.8482803989330043, 0.388136364216016, 0.3338489892949268, 0.48383221206287497, 0.24994373949967985, 0.568547162145378, 0.3383089368479617, 0.9879858654272922]"
1551349538,10,7,229.85714208886301,41.72047365776983,12.252020501243848,2.690146084999296,18.487085525170063,13.044783828663,inf,341.7723312149525,0.8736769429562912,"[15.54231774525029, 386.8089059671605, 0.8208502232454182, 118.03905286321897, 506.32480958260976, 92.55746689006068, 0.12676590444836633, 0.1875597694772171, 0.19583985192740755, 0.16943838539952322, 0.018575764773884496, 0.12268645656317491, 0.2913180663960523, 0.3682164903203973, 0.9695684790396871, 0.4101974638272332, 0.21898502444591772, 0.494049024048818, 0.15149404402406996, 0.40161893240251056, 0.5756270391756162]"
1551350869,11,4,648.027336702786,114.67462979319713,18.028413323740303,4.296200597536916,29.18241974660255,17.63568989596075,inf,851.6136222668986,0.33037318824190687,"[23.30712366361864, 356.49795885530546, 0.8890041216015656, 394.51644593063975, 364.7416627510464, 157.7133305529273, 0.03209970015326426, 0.08712041320122287, 0.12007007870366135, 0.07154835346487996, 0.141733672977436, 0.22714573605560323, 0.7907747644999154, 0.32426475927392867, 0.9160140934913652, 0.8069727417233131, 0.5875046915147706, 0.5333878577149048, 0.9728331472934619, 0.0856597154552442, 0.3215893853067576]"
